Date,Time,Open,High,Low,Close,Volume
2024-07-11,18:00:00,369.7600,370.1160,368.7800,369.9950,294
2024-07-11,17:45:00,369.2500,370.2400,368.9600,369.0000,834
2024-07-11,17:30:00,369.6100,370.2500,368.9600,368.9600,1951
2024-07-11,17:15:00,370.0100,370.2000,369.4800,369.4800,1443
2024-07-11,17:00:00,370.4000,370.4300,370.0000,370.0000,1794
2024-07-11,16:45:00,370.2000,370.5000,370.0000,370.2700,851
2024-07-11,16:30:00,370.2800,370.5000,370.0000,370.2500,21113
2024-07-11,16:15:00,370.4300,370.4300,370.0000,370.2800,1636
2024-07-11,16:00:00,370.3900,370.5600,370.0000,370.2100,577386
2024-07-11,15:45:00,369.6500,370.8700,369.4300,370.3800,302758
2024-07-11,15:30:00,368.6900,370.1900,368.6500,369.6200,94199
2024-07-11,15:15:00,369.3900,369.6750,368.3600,368.6100,70048
2024-07-11,15:00:00,369.7400,370.0300,369.2700,369.5400,52360
2024-07-11,14:45:00,369.7500,370.3060,369.1400,369.7600,55614
2024-07-11,14:30:00,368.6000,369.9800,368.5000,369.5600,85239
2024-07-11,14:15:00,368.4900,369.3550,368.4200,368.5700,57406
2024-07-11,14:00:00,368.2100,368.5700,367.5000,368.4150,53846
2024-07-11,13:45:00,368.8300,369.1400,367.7700,368.0600,66176
2024-07-11,13:30:00,369.1650,369.2000,368.1900,368.8800,79887
2024-07-11,13:15:00,369.4600,369.5400,368.3900,368.8500,106373
2024-07-11,13:00:00,370.8000,371.3000,369.3200,369.5820,77881
2024-07-11,12:45:00,371.6750,371.6750,370.5100,370.5600,41376
2024-07-11,12:30:00,372.1100,372.5800,371.4100,371.7200,54638
2024-07-11,12:15:00,370.7100,372.1900,370.4800,372.1100,82439
2024-07-11,12:00:00,370.1900,371.1500,369.6400,370.8500,81522
2024-07-11,11:45:00,371.1300,371.7200,370.1000,370.4000,76745
2024-07-11,11:30:00,371.5000,372.4000,370.4000,371.2300,129558
2024-07-11,11:15:00,374.0100,374.3000,371.5000,371.6200,82529
